Date,Open,High,Low,Close,Adj Close,Volume
2018-05-24,2.994000,2.995000,2.955000,2.981000,2.981000,0
2018-05-25,2.951000,2.951000,2.922000,2.931000,2.931000,0
2018-05-29,2.879000,2.891000,2.759000,2.768000,2.768000,0
2018-05-30,2.866000,2.866000,2.821000,2.842000,2.842000,0
2018-05-31,2.866000,2.870000,2.822000,2.822000,2.822000,0
2018-06-01,2.900000,2.924000,2.880000,2.895000,2.895000,0
2018-06-04,2.911000,2.941000,2.902000,2.937000,2.937000,0
2018-06-05,2.911000,2.931000,2.900000,2.919000,2.919000,0
2018-06-06,2.955000,2.981000,2.948000,2.975000,2.975000,0
2018-06-07,2.990000,2.992000,2.884000,2.933000,2.933000,0
2018-06-08,2.924000,2.942000,2.921000,2.937000,2.937000,0
2018-06-11,2.963000,2.970000,2.952000,2.957000,2.957000,0
2018-06-12,2.970000,2.981000,2.957000,2.957000,2.957000,0
2018-06-13,2.957000,3.009000,2.950000,2.977000,2.977000,0
2018-06-14,2.939000,2.965000,2.928000,2.946000,2.946000,0
2018-06-15,2.926000,2.930000,2.889000,2.924000,2.924000,0
2018-06-18,2.902000,2.933000,2.902000,2.926000,2.926000,0
2018-06-19,2.884000,2.895000,2.868000,2.893000,2.893000,0
2018-06-20,2.900000,2.930000,2.884000,2.928000,2.928000,0
2018-06-21,2.926000,2.926000,2.891000,2.897000,2.897000,0
2018-06-22,2.913000,2.928000,2.897000,2.900000,2.900000,0
